,ETHCAT,GENCAT,ANYELL0812,AVG_GPA3,anyspd1,trulydis_b,Frequency
0,Asian,Male,ELL,GPA Under 80,No IEP,Non-Bottom Quintile Neighborhood,278.0
1,Asian,Male,ELL,GPA Under 80,No IEP,Bottom Quintile Neighborhood,287.0
2,Asian,Male,ELL,GPA Under 80,IEP,Non-Bottom Quintile Neighborhood,256.0
3,Asian,Male,ELL,GPA Under 80,IEP,Bottom Quintile Neighborhood,297.0
4,Asian,Male,ELL,GPA Over 80,No IEP,Non-Bottom Quintile Neighborhood,627.5
5,Asian,Male,ELL,GPA Over 80,No IEP,Bottom Quintile Neighborhood,555.375
6,Asian,Male,ELL,GPA Over 80,IEP,Non-Bottom Quintile Neighborhood,558.375
7,Asian,Male,ELL,GPA Over 80,IEP,Bottom Quintile Neighborhood,466.91875
8,Asian,Male,No ELL,GPA Under 80,No IEP,Non-Bottom Quintile Neighborhood,273.0
9,Asian,Male,No ELL,GPA Under 80,No IEP,Bottom Quintile Neighborhood,286.0
10,Asian,Male,No ELL,GPA Under 80,IEP,Non-Bottom Quintile Neighborhood,260.0
11,Asian,Male,No ELL,GPA Under 80,IEP,Bottom Quintile Neighborhood,282.0
12,Asian,Male,No ELL,GPA Over 80,No IEP,Non-Bottom Quintile Neighborhood,711.0
13,Asian,Male,No ELL,GPA Over 80,No IEP,Bottom Quintile Neighborhood,589.75
14,Asian,Male,No ELL,GPA Over 80,IEP,Non-Bottom Quintile Neighborhood,601.75
15,Asian,Male,No ELL,GPA Over 80,IEP,Bottom Quintile Neighborhood,524.6875
16,Asian,Female,ELL,GPA Under 80,No IEP,Non-Bottom Quintile Neighborhood,298.0
17,Asian,Female,ELL,GPA Under 80,No IEP,Bottom Quintile Neighborhood,259.0
18,Asian,Female,ELL,GPA Under 80,IEP,Non-Bottom Quintile Neighborhood,261.0
19,Asian,Female,ELL,GPA Under 80,IEP,Bottom Quintile Neighborhood,272.0
20,Asian,Female,ELL,GPA Over 80,No IEP,Non-Bottom Quintile Neighborhood,677.0
21,Asian,Female,ELL,GPA Over 80,No IEP,Bottom Quintile Neighborhood,612.75
22,Asian,Female,ELL,GPA Over 80,IEP,Non-Bottom Quintile Neighborhood,596.75
23,Asian,Female,ELL,GPA Over 80,IEP,Bottom Quintile Neighborhood,533.6875
24,Asian,Female,No ELL,GPA Under 80,No IEP,Non-Bottom Quintile Neighborhood,298.0
25,Asian,Female,No ELL,GPA Under 80,No IEP,Bottom Quintile Neighborhood,275.0
26,Asian,Female,No ELL,GPA Under 80,IEP,Non-Bottom Quintile Neighborhood,271.0
27,Asian,Female,No ELL,GPA Under 80,IEP,Bottom Quintile Neighborhood,257.0
28,Asian,Female,No ELL,GPA Over 80,No IEP,Non-Bottom Quintile Neighborhood,781.0
29,Asian,Female,No ELL,GPA Over 80,No IEP,Bottom Quintile Neighborhood,645.5
