,ETHCAT,GENCAT,ANYELL0812,AVG_GPA3,anyspd1,trulydis_b,Frequency
0,Asian,Male,ELL,GPA Under 80,No IEP,Non-Bottom Quintile Neighborhood,253.0
1,Asian,Male,ELL,GPA Under 80,No IEP,Bottom Quintile Neighborhood,285.0
2,Asian,Male,ELL,GPA Under 80,IEP,Non-Bottom Quintile Neighborhood,278.0
3,Asian,Male,ELL,GPA Under 80,IEP,Bottom Quintile Neighborhood,293.0
4,Asian,Male,ELL,GPA Over 80,No IEP,Non-Bottom Quintile Neighborhood,638.5
5,Asian,Male,ELL,GPA Over 80,No IEP,Bottom Quintile Neighborhood,527.375
6,Asian,Male,ELL,GPA Over 80,IEP,Non-Bottom Quintile Neighborhood,543.375
7,Asian,Male,ELL,GPA Over 80,IEP,Bottom Quintile Neighborhood,483.91875
8,Asian,Male,No ELL,GPA Under 80,No IEP,Non-Bottom Quintile Neighborhood,254.0
9,Asian,Male,No ELL,GPA Under 80,No IEP,Bottom Quintile Neighborhood,293.0
10,Asian,Male,No ELL,GPA Under 80,IEP,Non-Bottom Quintile Neighborhood,282.0
11,Asian,Male,No ELL,GPA Under 80,IEP,Bottom Quintile Neighborhood,255.0
12,Asian,Male,No ELL,GPA Over 80,No IEP,Non-Bottom Quintile Neighborhood,700.0
13,Asian,Male,No ELL,GPA Over 80,No IEP,Bottom Quintile Neighborhood,605.75
14,Asian,Male,No ELL,GPA Over 80,IEP,Non-Bottom Quintile Neighborhood,621.75
15,Asian,Male,No ELL,GPA Over 80,IEP,Bottom Quintile Neighborhood,496.6875
16,Asian,Female,ELL,GPA Under 80,No IEP,Non-Bottom Quintile Neighborhood,253.0
17,Asian,Female,ELL,GPA Under 80,No IEP,Bottom Quintile Neighborhood,264.0
18,Asian,Female,ELL,GPA Under 80,IEP,Non-Bottom Quintile Neighborhood,260.0
19,Asian,Female,ELL,GPA Under 80,IEP,Bottom Quintile Neighborhood,277.0
20,Asian,Female,ELL,GPA Over 80,No IEP,Non-Bottom Quintile Neighborhood,703.0
21,Asian,Female,ELL,GPA Over 80,No IEP,Bottom Quintile Neighborhood,595.75
22,Asian,Female,ELL,GPA Over 80,IEP,Non-Bottom Quintile Neighborhood,620.75
23,Asian,Female,ELL,GPA Over 80,IEP,Bottom Quintile Neighborhood,524.6875
24,Asian,Female,No ELL,GPA Under 80,No IEP,Non-Bottom Quintile Neighborhood,297.0
25,Asian,Female,No ELL,GPA Under 80,No IEP,Bottom Quintile Neighborhood,262.0
26,Asian,Female,No ELL,GPA Under 80,IEP,Non-Bottom Quintile Neighborhood,277.0
27,Asian,Female,No ELL,GPA Under 80,IEP,Bottom Quintile Neighborhood,277.0
28,Asian,Female,No ELL,GPA Over 80,No IEP,Non-Bottom Quintile Neighborhood,767.0
29,Asian,Female,No ELL,GPA Over 80,No IEP,Bottom Quintile Neighborhood,660.5
30,Asian,Female,No ELL,GPA Over 80,IEP,Non-Bottom Quintile Neighborhood,655.5
31,Asian,Female,No ELL,GPA Over 80,IEP,Bottom Quintile Neighborhood,554.8749999999999
32,Latinx,Male,ELL,GPA Under 80,No IEP,Non-Bottom Quintile Neighborhood,254.0
33,Latinx,Male,ELL,GPA Under 80,No IEP,Bottom Quintile Neighborhood,288.0
34,Latinx,Male,ELL,GPA Under 80,IEP,Non-Bottom Quintile Neighborhood,288.0
35,Latinx,Male,ELL,GPA Under 80,IEP,Bottom Quintile Neighborhood,290.0
36,Latinx,Male,ELL,GPA Over 80,No IEP,Non-Bottom Quintile Neighborhood,560.7500000000001
37,Latinx,Male,ELL,GPA Over 80,No IEP,Bottom Quintile Neighborhood,473.7375
38,Latinx,Male,ELL,GPA Over 80,IEP,Non-Bottom Quintile Neighborhood,496.7375
39,Latinx,Male,ELL,GPA Over 80,IEP,Bottom Quintile Neighborhood,425.02687499999996
40,Latinx,Male,No ELL,GPA Under 80,No IEP,Non-Bottom Quintile Neighborhood,270.0
41,Latinx,Male,No ELL,GPA Under 80,No IEP,Bottom Quintile Neighborhood,275.0
42,Latinx,Male,No ELL,GPA Under 80,IEP,Non-Bottom Quintile Neighborhood,263.0
43,Latinx,Male,No ELL,GPA Under 80,IEP,Bottom Quintile Neighborhood,266.0
44,Latinx,Male,No ELL,GPA Over 80,No IEP,Non-Bottom Quintile Neighborhood,616.5
45,Latinx,Male,No ELL,GPA Over 80,No IEP,Bottom Quintile Neighborhood,562.375
46,Latinx,Male,No ELL,GPA Over 80,IEP,Non-Bottom Quintile Neighborhood,534.375
47,Latinx,Male,No ELL,GPA Over 80,IEP,Bottom Quintile Neighborhood,471.91875
48,Latinx,Female,ELL,GPA Under 80,No IEP,Non-Bottom Quintile Neighborhood,261.0
49,Latinx,Female,ELL,GPA Under 80,No IEP,Bottom Quintile Neighborhood,290.0
50,Latinx,Female,ELL,GPA Under 80,IEP,Non-Bottom Quintile Neighborhood,297.0
51,Latinx,Female,ELL,GPA Under 80,IEP,Bottom Quintile Neighborhood,272.0
52,Latinx,Female,ELL,GPA Over 80,No IEP,Non-Bottom Quintile Neighborhood,633.5
53,Latinx,Female,ELL,GPA Over 80,No IEP,Bottom Quintile Neighborhood,562.375
54,Latinx,Female,ELL,GPA Over 80,IEP,Non-Bottom Quintile Neighborhood,528.375
55,Latinx,Female,ELL,GPA Over 80,IEP,Bottom Quintile Neighborhood,471.91875
56,Latinx,Female,No ELL,GPA Under 80,No IEP,Non-Bottom Quintile Neighborhood,277.0
57,Latinx,Female,No ELL,GPA Under 80,No IEP,Bottom Quintile Neighborhood,258.0
58,Latinx,Female,No ELL,GPA Under 80,IEP,Non-Bottom Quintile Neighborhood,263.0
59,Latinx,Female,No ELL,GPA Under 80,IEP,Bottom Quintile Neighborhood,280.0
60,Latinx,Female,No ELL,GPA Over 80,No IEP,Non-Bottom Quintile Neighborhood,689.0
61,Latinx,Female,No ELL,GPA Over 80,No IEP,Bottom Quintile Neighborhood,614.75
62,Latinx,Female,No ELL,GPA Over 80,IEP,Non-Bottom Quintile Neighborhood,590.75
63,Latinx,Female,No ELL,GPA Over 80,IEP,Bottom Quintile Neighborhood,520.6875
64,Black,Male,ELL,GPA Under 80,No IEP,Non-Bottom Quintile Neighborhood,277.0
65,Black,Male,ELL,GPA Under 80,No IEP,Bottom Quintile Neighborhood,272.0
66,Black,Male,ELL,GPA Under 80,IEP,Non-Bottom Quintile Neighborhood,256.0
67,Black,Male,ELL,GPA Under 80,IEP,Bottom Quintile Neighborhood,278.0
68,Black,Male,ELL,GPA Over 80,No IEP,Non-Bottom Quintile Neighborhood,580.7500000000001
69,Black,Male,ELL,GPA Over 80,No IEP,Bottom Quintile Neighborhood,502.7375
70,Black,Male,ELL,GPA Over 80,IEP,Non-Bottom Quintile Neighborhood,485.7375
71,Black,Male,ELL,GPA Over 80,IEP,Bottom Quintile Neighborhood,439.02687499999996
72,Black,Male,No ELL,GPA Under 80,No IEP,Non-Bottom Quintile Neighborhood,269.0
73,Black,Male,No ELL,GPA Under 80,No IEP,Bottom Quintile Neighborhood,290.0
74,Black,Male,No ELL,GPA Under 80,IEP,Non-Bottom Quintile Neighborhood,263.0
75,Black,Male,No ELL,GPA Under 80,IEP,Bottom Quintile Neighborhood,283.0
76,Black,Male,No ELL,GPA Over 80,No IEP,Non-Bottom Quintile Neighborhood,610.5
77,Black,Male,No ELL,GPA Over 80,No IEP,Bottom Quintile Neighborhood,558.375
78,Black,Male,No ELL,GPA Over 80,IEP,Non-Bottom Quintile Neighborhood,550.375
79,Black,Male,No ELL,GPA Over 80,IEP,Bottom Quintile Neighborhood,441.91875
80,Black,Female,ELL,GPA Under 80,No IEP,Non-Bottom Quintile Neighborhood,265.0
81,Black,Female,ELL,GPA Under 80,No IEP,Bottom Quintile Neighborhood,296.0
82,Black,Female,ELL,GPA Under 80,IEP,Non-Bottom Quintile Neighborhood,271.0
83,Black,Female,ELL,GPA Under 80,IEP,Bottom Quintile Neighborhood,268.0
84,Black,Female,ELL,GPA Over 80,No IEP,Non-Bottom Quintile Neighborhood,629.5
85,Black,Female,ELL,GPA Over 80,No IEP,Bottom Quintile Neighborhood,543.375
86,Black,Female,ELL,GPA Over 80,IEP,Non-Bottom Quintile Neighborhood,549.375
87,Black,Female,ELL,GPA Over 80,IEP,Bottom Quintile Neighborhood,462.91875
88,Black,Female,No ELL,GPA Under 80,No IEP,Non-Bottom Quintile Neighborhood,285.0
89,Black,Female,No ELL,GPA Under 80,No IEP,Bottom Quintile Neighborhood,271.0
90,Black,Female,No ELL,GPA Under 80,IEP,Non-Bottom Quintile Neighborhood,295.0
91,Black,Female,No ELL,GPA Under 80,IEP,Bottom Quintile Neighborhood,280.0
92,Black,Female,No ELL,GPA Over 80,No IEP,Non-Bottom Quintile Neighborhood,711.0
93,Black,Female,No ELL,GPA Over 80,No IEP,Bottom Quintile Neighborhood,621.75
94,Black,Female,No ELL,GPA Over 80,IEP,Non-Bottom Quintile Neighborhood,574.75
95,Black,Female,No ELL,GPA Over 80,IEP,Bottom Quintile Neighborhood,531.6875
96,White,Male,ELL,GPA Under 80,No IEP,Non-Bottom Quintile Neighborhood,263.0
97,White,Male,ELL,GPA Under 80,No IEP,Bottom Quintile Neighborhood,267.0
98,White,Male,ELL,GPA Under 80,IEP,Non-Bottom Quintile Neighborhood,274.0
99,White,Male,ELL,GPA Under 80,IEP,Bottom Quintile Neighborhood,279.0
100,White,Male,ELL,GPA Over 80,No IEP,Non-Bottom Quintile Neighborhood,591.125
101,White,Male,ELL,GPA Over 80,No IEP,Bottom Quintile Neighborhood,502.55625
102,White,Male,ELL,GPA Over 80,IEP,Non-Bottom Quintile Neighborhood,518.55625
103,White,Male,ELL,GPA Over 80,IEP,Bottom Quintile Neighborhood,419.9728125
104,White,Male,No ELL,GPA Under 80,No IEP,Non-Bottom Quintile Neighborhood,271.0
105,White,Male,No ELL,GPA Under 80,No IEP,Bottom Quintile Neighborhood,282.0
106,White,Male,No ELL,GPA Under 80,IEP,Non-Bottom Quintile Neighborhood,267.0
107,White,Male,No ELL,GPA Under 80,IEP,Bottom Quintile Neighborhood,263.0
108,White,Male,No ELL,GPA Over 80,No IEP,Non-Bottom Quintile Neighborhood,666.25
109,White,Male,No ELL,GPA Over 80,No IEP,Bottom Quintile Neighborhood,582.0625
110,White,Male,No ELL,GPA Over 80,IEP,Non-Bottom Quintile Neighborhood,578.0625
111,White,Male,No ELL,GPA Over 80,IEP,Bottom Quintile Neighborhood,507.30312499999997
112,White,Female,ELL,GPA Under 80,No IEP,Non-Bottom Quintile Neighborhood,274.0
113,White,Female,ELL,GPA Under 80,No IEP,Bottom Quintile Neighborhood,290.0
114,White,Female,ELL,GPA Under 80,IEP,Non-Bottom Quintile Neighborhood,295.0
115,White,Female,ELL,GPA Under 80,IEP,Bottom Quintile Neighborhood,254.0
116,White,Female,ELL,GPA Over 80,No IEP,Non-Bottom Quintile Neighborhood,667.25
117,White,Female,ELL,GPA Over 80,No IEP,Bottom Quintile Neighborhood,552.0625
118,White,Female,ELL,GPA Over 80,IEP,Non-Bottom Quintile Neighborhood,593.0625
119,White,Female,ELL,GPA Over 80,IEP,Bottom Quintile Neighborhood,467.30312499999997
120,White,Female,No ELL,GPA Under 80,No IEP,Non-Bottom Quintile Neighborhood,290.0
121,White,Female,No ELL,GPA Under 80,No IEP,Bottom Quintile Neighborhood,274.0
122,White,Female,No ELL,GPA Under 80,IEP,Non-Bottom Quintile Neighborhood,252.0
123,White,Female,No ELL,GPA Under 80,IEP,Bottom Quintile Neighborhood,294.0
124,White,Female,No ELL,GPA Over 80,No IEP,Non-Bottom Quintile Neighborhood,746.5
125,White,Female,No ELL,GPA Over 80,No IEP,Bottom Quintile Neighborhood,653.625
126,White,Female,No ELL,GPA Over 80,IEP,Non-Bottom Quintile Neighborhood,643.625
127,White,Female,No ELL,GPA Over 80,IEP,Bottom Quintile Neighborhood,538.78125
