,ETHCAT,GENCAT,ANYELL0812,AVG_GPA3,anyspd1,trulydis_b,Frequency
0,Asian,Male,ELL,GPA Under 80,No IEP,Non-Bottom Quintile Neighborhood,526
1,Asian,Male,ELL,GPA Under 80,No IEP,Bottom Quintile Neighborhood,604
2,Asian,Male,ELL,GPA Under 80,IEP,Non-Bottom Quintile Neighborhood,888
3,Asian,Male,ELL,GPA Under 80,IEP,Bottom Quintile Neighborhood,518
4,Asian,Male,ELL,GPA Over 80,No IEP,Non-Bottom Quintile Neighborhood,517
5,Asian,Male,ELL,GPA Over 80,No IEP,Bottom Quintile Neighborhood,896
6,Asian,Male,ELL,GPA Over 80,IEP,Non-Bottom Quintile Neighborhood,617
7,Asian,Male,ELL,GPA Over 80,IEP,Bottom Quintile Neighborhood,852
8,Asian,Male,No ELL,GPA Under 80,No IEP,Non-Bottom Quintile Neighborhood,595
9,Asian,Male,No ELL,GPA Under 80,No IEP,Bottom Quintile Neighborhood,858
10,Asian,Male,No ELL,GPA Under 80,IEP,Non-Bottom Quintile Neighborhood,668
11,Asian,Male,No ELL,GPA Under 80,IEP,Bottom Quintile Neighborhood,802
12,Asian,Male,No ELL,GPA Over 80,No IEP,Non-Bottom Quintile Neighborhood,947
13,Asian,Male,No ELL,GPA Over 80,No IEP,Bottom Quintile Neighborhood,902
14,Asian,Male,No ELL,GPA Over 80,IEP,Non-Bottom Quintile Neighborhood,598
15,Asian,Male,No ELL,GPA Over 80,IEP,Bottom Quintile Neighborhood,829
16,Asian,Female,ELL,GPA Under 80,No IEP,Non-Bottom Quintile Neighborhood,880
17,Asian,Female,ELL,GPA Under 80,No IEP,Bottom Quintile Neighborhood,843
18,Asian,Female,ELL,GPA Under 80,IEP,Non-Bottom Quintile Neighborhood,681
19,Asian,Female,ELL,GPA Under 80,IEP,Bottom Quintile Neighborhood,593
20,Asian,Female,ELL,GPA Over 80,No IEP,Non-Bottom Quintile Neighborhood,774
21,Asian,Female,ELL,GPA Over 80,No IEP,Bottom Quintile Neighborhood,620
22,Asian,Female,ELL,GPA Over 80,IEP,Non-Bottom Quintile Neighborhood,735
