,ETHCAT,GENCAT,ANYELL0812,AVG_GPA3,anyspd1,trulydis_b,Frequency
0,Asian,Male,ELL,GPA Under 80,No IEP,Non-Bottom Quintile Neighborhood,674
1,Asian,Male,ELL,GPA Under 80,No IEP,Bottom Quintile Neighborhood,761
2,Asian,Male,ELL,GPA Under 80,IEP,Non-Bottom Quintile Neighborhood,573
3,Asian,Male,ELL,GPA Under 80,IEP,Bottom Quintile Neighborhood,970
4,Asian,Male,ELL,GPA Over 80,No IEP,Non-Bottom Quintile Neighborhood,991
5,Asian,Male,ELL,GPA Over 80,No IEP,Bottom Quintile Neighborhood,961
6,Asian,Male,ELL,GPA Over 80,IEP,Non-Bottom Quintile Neighborhood,548
7,Asian,Male,ELL,GPA Over 80,IEP,Bottom Quintile Neighborhood,660
8,Asian,Male,No ELL,GPA Under 80,No IEP,Non-Bottom Quintile Neighborhood,517
9,Asian,Male,No ELL,GPA Under 80,No IEP,Bottom Quintile Neighborhood,894
10,Asian,Male,No ELL,GPA Under 80,IEP,Non-Bottom Quintile Neighborhood,610
11,Asian,Male,No ELL,GPA Under 80,IEP,Bottom Quintile Neighborhood,811
12,Asian,Male,No ELL,GPA Over 80,No IEP,Non-Bottom Quintile Neighborhood,571
13,Asian,Male,No ELL,GPA Over 80,No IEP,Bottom Quintile Neighborhood,877
14,Asian,Male,No ELL,GPA Over 80,IEP,Non-Bottom Quintile Neighborhood,967
15,Asian,Male,No ELL,GPA Over 80,IEP,Bottom Quintile Neighborhood,650
16,Asian,Female,ELL,GPA Under 80,No IEP,Non-Bottom Quintile Neighborhood,827
17,Asian,Female,ELL,GPA Under 80,No IEP,Bottom Quintile Neighborhood,546
18,Asian,Female,ELL,GPA Under 80,IEP,Non-Bottom Quintile Neighborhood,681
19,Asian,Female,ELL,GPA Under 80,IEP,Bottom Quintile Neighborhood,559
20,Asian,Female,ELL,GPA Over 80,No IEP,Non-Bottom Quintile Neighborhood,835
21,Asian,Female,ELL,GPA Over 80,No IEP,Bottom Quintile Neighborhood,616
22,Asian,Female,ELL,GPA Over 80,IEP,Non-Bottom Quintile Neighborhood,578
23,Asian,Female,ELL,GPA Over 80,IEP,Bottom Quintile Neighborhood,523
24,Asian,Female,No ELL,GPA Under 80,No IEP,Non-Bottom Quintile Neighborhood,772
