,ETHCAT,GENCAT,ANYELL0812,AVG_GPA3,anyspd1,trulydis_b,Frequency
0,Asian,Male,ELL,GPA Under 80,No IEP,Non-Bottom Quintile Neighborhood,736
1,Asian,Male,ELL,GPA Under 80,No IEP,Bottom Quintile Neighborhood,628
2,Asian,Male,ELL,GPA Under 80,IEP,Non-Bottom Quintile Neighborhood,624
3,Asian,Male,ELL,GPA Under 80,IEP,Bottom Quintile Neighborhood,725
4,Asian,Male,ELL,GPA Over 80,No IEP,Non-Bottom Quintile Neighborhood,643
5,Asian,Male,ELL,GPA Over 80,No IEP,Bottom Quintile Neighborhood,963
6,Asian,Male,ELL,GPA Over 80,IEP,Non-Bottom Quintile Neighborhood,949
7,Asian,Male,ELL,GPA Over 80,IEP,Bottom Quintile Neighborhood,567
8,Asian,Male,No ELL,GPA Under 80,No IEP,Non-Bottom Quintile Neighborhood,966
9,Asian,Male,No ELL,GPA Under 80,No IEP,Bottom Quintile Neighborhood,684
10,Asian,Male,No ELL,GPA Under 80,IEP,Non-Bottom Quintile Neighborhood,952
11,Asian,Male,No ELL,GPA Under 80,IEP,Bottom Quintile Neighborhood,883
12,Asian,Male,No ELL,GPA Over 80,No IEP,Non-Bottom Quintile Neighborhood,569
13,Asian,Male,No ELL,GPA Over 80,No IEP,Bottom Quintile Neighborhood,796
14,Asian,Male,No ELL,GPA Over 80,IEP,Non-Bottom Quintile Neighborhood,862
15,Asian,Male,No ELL,GPA Over 80,IEP,Bottom Quintile Neighborhood,771
16,Asian,Female,ELL,GPA Under 80,No IEP,Non-Bottom Quintile Neighborhood,974
17,Asian,Female,ELL,GPA Under 80,No IEP,Bottom Quintile Neighborhood,534
18,Asian,Female,ELL,GPA Under 80,IEP,Non-Bottom Quintile Neighborhood,654
19,Asian,Female,ELL,GPA Under 80,IEP,Bottom Quintile Neighborhood,858
20,Asian,Female,ELL,GPA Over 80,No IEP,Non-Bottom Quintile Neighborhood,621
21,Asian,Female,ELL,GPA Over 80,No IEP,Bottom Quintile Neighborhood,964
22,Asian,Female,ELL,GPA Over 80,IEP,Non-Bottom Quintile Neighborhood,841
23,Asian,Female,ELL,GPA Over 80,IEP,Bottom Quintile Neighborhood,524
24,Asian,Female,No ELL,GPA Under 80,No IEP,Non-Bottom Quintile Neighborhood,656
25,Asian,Female,No ELL,GPA Under 80,No IEP,Bottom Quintile Neighborhood,742
26,Asian,Female,No ELL,GPA Under 80,IEP,Non-Bottom Quintile Neighborhood,937
27,Asian,Female,No ELL,GPA Under 80,IEP,Bottom Quintile Neighborhood,607
28,Asian,Female,No ELL,GPA Over 80,No IEP,Non-Bottom Quintile Neighborhood,687
29,Asian,Female,No ELL,GPA Over 80,No IEP,Bottom Quintile Neighborhood,544
30,Asian,Female,No ELL,GPA Over 80,IEP,Non-Bottom Quintile Neighborhood,835
31,Asian,Female,No ELL,GPA Over 80,IEP,Bottom Quintile Neighborhood,516
32,Latinx,Male,ELL,GPA Under 80,No IEP,Non-Bottom Quintile Neighborhood,986
33,Latinx,Male,ELL,GPA Under 80,No IEP,Bottom Quintile Neighborhood,912
34,Latinx,Male,ELL,GPA Under 80,IEP,Non-Bottom Quintile Neighborhood,696
35,Latinx,Male,ELL,GPA Under 80,IEP,Bottom Quintile Neighborhood,758
36,Latinx,Male,ELL,GPA Over 80,No IEP,Non-Bottom Quintile Neighborhood,518
37,Latinx,Male,ELL,GPA Over 80,No IEP,Bottom Quintile Neighborhood,780
38,Latinx,Male,ELL,GPA Over 80,IEP,Non-Bottom Quintile Neighborhood,789
39,Latinx,Male,ELL,GPA Over 80,IEP,Bottom Quintile Neighborhood,852
40,Latinx,Male,No ELL,GPA Under 80,No IEP,Non-Bottom Quintile Neighborhood,595
41,Latinx,Male,No ELL,GPA Under 80,No IEP,Bottom Quintile Neighborhood,731
42,Latinx,Male,No ELL,GPA Under 80,IEP,Non-Bottom Quintile Neighborhood,773
43,Latinx,Male,No ELL,GPA Under 80,IEP,Bottom Quintile Neighborhood,743
44,Latinx,Male,No ELL,GPA Over 80,No IEP,Non-Bottom Quintile Neighborhood,699
45,Latinx,Male,No ELL,GPA Over 80,No IEP,Bottom Quintile Neighborhood,635
46,Latinx,Male,No ELL,GPA Over 80,IEP,Non-Bottom Quintile Neighborhood,680
47,Latinx,Male,No ELL,GPA Over 80,IEP,Bottom Quintile Neighborhood,722
48,Latinx,Female,ELL,GPA Under 80,No IEP,Non-Bottom Quintile Neighborhood,641
49,Latinx,Female,ELL,GPA Under 80,No IEP,Bottom Quintile Neighborhood,537
50,Latinx,Female,ELL,GPA Under 80,IEP,Non-Bottom Quintile Neighborhood,683
