,ETHCAT,GENCAT,ANYELL0812,AVG_GPA3,anyspd1,trulydis_b,Frequency
0,Asian,Male,ELL,GPA Under 80,No IEP,Non-Bottom Quintile Neighborhood,801
1,Asian,Male,ELL,GPA Under 80,No IEP,Bottom Quintile Neighborhood,599
2,Asian,Male,ELL,GPA Under 80,IEP,Non-Bottom Quintile Neighborhood,720
3,Asian,Male,ELL,GPA Under 80,IEP,Bottom Quintile Neighborhood,843
4,Asian,Male,ELL,GPA Over 80,No IEP,Non-Bottom Quintile Neighborhood,663
5,Asian,Male,ELL,GPA Over 80,No IEP,Bottom Quintile Neighborhood,869
6,Asian,Male,ELL,GPA Over 80,IEP,Non-Bottom Quintile Neighborhood,710
7,Asian,Male,ELL,GPA Over 80,IEP,Bottom Quintile Neighborhood,628
8,Asian,Male,No ELL,GPA Under 80,No IEP,Non-Bottom Quintile Neighborhood,969
9,Asian,Male,No ELL,GPA Under 80,No IEP,Bottom Quintile Neighborhood,722
10,Asian,Male,No ELL,GPA Under 80,IEP,Non-Bottom Quintile Neighborhood,699
11,Asian,Male,No ELL,GPA Under 80,IEP,Bottom Quintile Neighborhood,745
12,Asian,Male,No ELL,GPA Over 80,No IEP,Non-Bottom Quintile Neighborhood,935
13,Asian,Male,No ELL,GPA Over 80,No IEP,Bottom Quintile Neighborhood,573
14,Asian,Male,No ELL,GPA Over 80,IEP,Non-Bottom Quintile Neighborhood,600
15,Asian,Male,No ELL,GPA Over 80,IEP,Bottom Quintile Neighborhood,607
16,Asian,Female,ELL,GPA Under 80,No IEP,Non-Bottom Quintile Neighborhood,882
17,Asian,Female,ELL,GPA Under 80,No IEP,Bottom Quintile Neighborhood,733
18,Asian,Female,ELL,GPA Under 80,IEP,Non-Bottom Quintile Neighborhood,582
19,Asian,Female,ELL,GPA Under 80,IEP,Bottom Quintile Neighborhood,507
20,Asian,Female,ELL,GPA Over 80,No IEP,Non-Bottom Quintile Neighborhood,803
21,Asian,Female,ELL,GPA Over 80,No IEP,Bottom Quintile Neighborhood,633
22,Asian,Female,ELL,GPA Over 80,IEP,Non-Bottom Quintile Neighborhood,742
23,Asian,Female,ELL,GPA Over 80,IEP,Bottom Quintile Neighborhood,566
24,Asian,Female,No ELL,GPA Under 80,No IEP,Non-Bottom Quintile Neighborhood,521
25,Asian,Female,No ELL,GPA Under 80,No IEP,Bottom Quintile Neighborhood,806
26,Asian,Female,No ELL,GPA Under 80,IEP,Non-Bottom Quintile Neighborhood,675
27,Asian,Female,No ELL,GPA Under 80,IEP,Bottom Quintile Neighborhood,585
28,Asian,Female,No ELL,GPA Over 80,No IEP,Non-Bottom Quintile Neighborhood,504
29,Asian,Female,No ELL,GPA Over 80,No IEP,Bottom Quintile Neighborhood,997
30,Asian,Female,No ELL,GPA Over 80,IEP,Non-Bottom Quintile Neighborhood,695
31,Asian,Female,No ELL,GPA Over 80,IEP,Bottom Quintile Neighborhood,702
32,Latinx,Male,ELL,GPA Under 80,No IEP,Non-Bottom Quintile Neighborhood,685
33,Latinx,Male,ELL,GPA Under 80,No IEP,Bottom Quintile Neighborhood,988
